,ACWI IMI,ACWI,World,Emerging Markets,Europe,North America,S&P 500,NASDAQ,Dow Jones,70/30
2000-08,199.42803591710341,329.761,1379.87,423.56,1424.921,1564.555,844.8922855071153,1509.2751752488546,343.2108142411606,380.9215374766472
2000-09,188.79449529135533,311.309,1305.245,386.031,1356.578,1474.359,799.7049327604145,1317.8399381019885,325.94546870973653,356.3757348673906
2000-10,182.5629899002246,304.895,1282.138,357.847,1344.717,1456.643,795.7468048539988,1209.0526498826928,335.7450136908374,344.15378019998474
2000-11,168.99705104894036,285.682,1203.054,326.356,1291.062,1339.522,732.0324641920071,932.159963348248,318.7101138413922,320.20847820229466
2000-12,172.47391018686875,290.113,1221.253,333.793,1378.396,1337.555,734.9997179804136,886.4441734204279,330.14017185103455,325.7882817668255
2001-01,177.33433159655905,297.271,1244.222,379.022,1378.655,1385.971,760.4575920692015,994.8797484834835,333.18115231657157,343.3207268690669
2001-02,161.92822691134302,271.968,1137.879,349.024,1256.11,1256.118,690.2744016597702,772.0954373430458,321.1824962592922,314.62859925221164
2001-03,150.08709337326388,253.117,1061.262,313.138,1159.783,1173.433,645.9555333262206,660.301373937004,302.3160149662681,290.09428199165205
2001-04,161.19837425703238,271.089,1138.087,327.709,1239.079,1263.437,695.5741952757982,759.3254027783587,328.5176083169045,308.843893728912
2001-05,159.6953769207654,267.374,1121.088,330.545,1174.032,1269.768,699.1147982812436,757.2622525278562,333.93336575392175,306.4165901867679
2001-06,155.16015503639076,258.844,1084.788,322.888,1127.558,1239.054,681.6121870516993,775.2206474456668,321.4003901079899,297.34208918902993
2001-07,151.3545311473406,254.542,1069.669,301.666,1129.704,1226.512,674.2915701967138,727.3519612826449,322.02496335499745,288.5782960052647
2001-08,144.77388828619596,242.414,1016.732,298.169,1097.859,1143.844,631.063811858278,647.8040813180089,304.48787063303604,277.5776665533766
2001-09,130.32835729674392,219.961,926.023,251.395,987.578,1054.494,579.491127935637,537.7825558596485,270.75801641884397,247.1794162089934
2001-10,134.01734737013663,224.482,943.2,266.861,1018.718,1068.251,589.9794023767115,606.4585135060261,277.7225505414883,254.9509014373841
2001-11,141.92960206986822,238.0,997.928,294.426,1058.837,1149.41,634.3316373649449,692.7089599912049,301.482991630841,273.20657576525593
2001-12,143.7315690558773,240.033,1003.516,317.4,1085.759,1155.707,639.1359599437048,699.8205737304437,306.6857564112037,280.67294531105733
2002-01,139.84776485807856,233.258,972.418,327.746,1028.45,1138.518,629.1821635863106,693.9468764214434,303.5774443257084,277.32914767434755
2002-02,138.594078669254,231.208,962.732,332.765,1026.687,1114.903,616.1164339948448,621.2737403642968,309.27349615402113,276.66954538855975
2002-03,145.3618958852201,241.171,1003.597,351.427,1079.624,1155.406,638.751869653945,662.1276981556521,318.38726275821006,289.5450056069619
2002-04,142.01898737400745,233.131,968.25,352.838,1068.379,1082.002,599.5212462683372,605.7516708017417,304.37983521086596,282.75526174329553
2002-05,142.001415903963,232.824,967.847,346.28,1060.5,1073.515,594.0767052501175,579.7380372084488,303.7381077917074,281.0962573367719
2002-06,133.18970566514378,218.252,907.81,319.752,1021.604,991.139,551.0326673820224,525.0125212949614,282.8674573474883,262.4301709476157
2002-07,121.77461661089635,199.729,830.549,294.623,906.931,917.276,507.49873091186106,476.5912994574726,267.3620581539884,240.60867696536258
2002-08,121.97630652792843,199.846,830.582,298.886,903.91,920.472,509.9760521199379,471.77966200059086,265.12532146328374,241.65980353558294
2002-09,109.16797816044534,177.625,738.179,266.106,784.351,816.453,453.86628466037706,420.5453919116048,232.3325363168244,214.88925950687036
2002-10,116.21006310449677,190.489,791.883,283.161,859.515,887.417,493.1024804811866,477.1259209749156,256.970664348363,229.96453652095235
2002-11,122.34377944494528,200.604,833.471,302.358,900.778,939.155,521.2436520109355,530.5991978925243,272.24316726386246,243.09576623817136
2002-12,116.7575799247228,190.797,792.215,292.09,867.447,882.744,489.7956819063708,479.1926628168019,255.27527029588478,232.1960233017848
2003-01,113.3255407683571,185.033,767.478,290.438,825.795,862.09,476.36808380942546,473.9540639842005,246.4672454307031,226.72680529451074
2003-02,111.16093938606812,181.416,752.864,281.288,796.995,849.074,468.2681075262533,479.9138718866214,241.48729063373983,221.5618883360723
2003-03,110.6159691557036,180.201,748.628,272.267,781.794,854.986,472.18168992931845,481.2235325447454,244.579673845095,218.5575844535507
2003-04,119.99098507189024,195.753,813.302,295.166,882.786,924.588,510.44923341639884,525.4072459480169,259.51250024375213,237.2889546228989
2003-05,127.26480969333964,206.535,857.649,315.436,935.729,973.714,536.4304407184636,572.626467269105,270.8406493212783,251.2346487772122
2003-06,129.59595805257177,210.079,871.066,332.684,942.252,984.937,542.5040213274764,582.2748395226599,274.9775243735309,258.10710017601264
2003-07,132.5140953748835,214.455,887.78,352.624,960.008,1001.247,551.3054448808009,622.5403457257106,282.5779582784533,266.21491926191004
2003-08,135.83357525937018,219.098,905.324,375.518,955.208,1019.798,561.1590393393539,649.6052643969707,288.1482526914156,275.08268745106477
2003-09,136.61104914409114,220.151,909.641,377.634,973.867,1007.908,554.4563511830212,641.1696674339678,283.84061293590446,276.4659093618216
2003-10,144.97048502350503,233.236,962.707,409.115,1038.222,1064.331,584.9300965186551,693.2938199881258,299.93941499043035,294.6698751466425
2003-11,147.14017958551705,236.424,976.019,413.325,1080.767,1073.827,589.0997730931568,703.3584226431441,299.3683663467718,298.43178529357186
2003-12,155.59969644648848,251.131,1036.318,442.778,1169.243,1127.896,619.0057416469535,718.8266621348375,319.91676341415547,317.7176410279725
2004-01,158.66298939090663,255.195,1052.289,457.191,1182.211,1146.695,629.6999243643855,741.352641495013,320.9618529613996,324.24778549488593
2004-02,161.6223814689749,259.511,1068.648,477.732,1215.13,1159.225,637.3879142035257,728.3171357671913,323.89509685793996,332.1467496179626
2004-03,161.04736147824448,257.43,1059.157,482.062,1172.656,1139.91,626.9609365496705,715.5435534110154,316.9721929823447,330.9849590502814
2004-04,156.5286924279697,250.932,1035.657,441.299,1158.219,1117.514,616.4337909752373,688.9666093691042,312.92867966145013,317.4479660298097
2004-05,157.40802990715136,252.278,1042.626,431.263,1171.019,1131.244,623.8824379268094,712.8596710496491,311.79270886418686,316.7774391503342
2004-06,160.64983880086174,256.895,1062.514,432.2,1183.771,1152.119,635.1054583361931,734.7649620988559,319.35246885221477,321.21366813781896
2004-07,155.01067021151974,248.451,1026.991,423.14,1150.148,1113.36,613.3273622198408,677.2012567941849,310.301132675941,311.676244880848
2004-08,155.58059702252714,249.507,1029.631,439.746,1147.191,1116.856,614.7302567601454,659.5263347963228,311.3480452275427,315.90657664434434
2004-09,158.94031302682578,254.373,1047.861,464.151,1192.383,1130.901,620.4865143670291,680.6027566339868,308.48210306564334,325.08149698116785
2004-10,162.67616035367038,260.379,1072.698,474.271,1234.844,1149.496,629.1821635863106,708.6436683638395,306.8662936132312,332.6015340030352
2004-11,171.65034302565434,274.17,1127.339,517.95,1322.638,1194.598,653.4654091084851,752.3537735032974,319.1241450277668,353.6504486169137
2004-12,178.27376859647245,284.521,1169.341,542.174,1377.946,1233.457,674.6757284430005,780.5668626200966,329.9877567326203,367.8357400692257
2005-01,174.58783443091357,278.299,1142.35,542.282,1351.52,1200.808,657.6128638987068,740.0107003143299,321.01908334409825,361.91439284887855
2005-02,180.3431275179407,287.494,1176.703,588.681,1416.423,1226.029,670.0439474859144,736.1750559160408,329.4742672101511,378.82278054991696
2005-03,176.0022104399998,280.512,1151.184,548.689,1376.07,1206.654,657.2342780876218,717.3411886984884,321.44199046972176,365.35135616216377
2005-04,171.42446050493783,273.702,1123.642,531.99,1334.195,1181.02,644.0182286587624,689.5048224779309,311.9169421283531,355.89688077669564
2005-05,174.687660753485,278.074,1140.677,548.155,1331.644,1216.823,663.307892674898,742.0954001131352,320.3317509306848,362.9180638082442
2005-06,176.70914378555676,280.438,1148.813,565.168,1346.731,1221.713,663.2132292329951,738.0552102055507,314.44042843889787,368.10919914223285
2005-07,183.44385533332314,290.57,1188.165,602.564,1394.836,1267.397,687.0678729403227,783.9361257372343,325.6391442070413,384.2428811602505
2005-08,184.4283669737854,292.202,1194.807,606.23,1411.393,1258.018,679.3575254038487,772.188731119234,320.7638328487305,386.44777946820585
2005-09,189.47850932815865,300.604,1224.314,661.318,1444.746,1271.212,684.0783973676361,772.045155063673,323.4293341872565,403.66331995881717
2005-10,184.27684487702516,292.319,1193.88,617.412,1398.477,1244.574,671.942313063487,760.7821872835327,319.4929298436945,388.5993719931133
2005-11,190.7189532497033,302.432,1231.412,667.994,1418.667,1292.7,695.5853401462017,801.1553536283067,330.6873421261416,406.7017492568229
2005-12,195.45586505111007,309.63,1257.775,706.483,1468.091,1295.086,694.9228999224615,791.2881132998162,327.9829898750786,419.82673214587186
2006-01,205.52890124833834,324.658,1313.214,783.771,1563.089,1334.052,712.6203425144867,827.3483915912086,332.49259460514736,446.55852840168546
