,ACWI IMI IMI (Large+Mid+Small Cap),ACWI Standard (Large+Mid Cap),WORLD Standard (Large+Mid Cap),EM (EMERGING MARKETS) Standard (Large+Mid Cap),EUROPE Standard (Large+Mid Cap),NORTH AMERICA Standard (Large+Mid Cap),S&P 500,NASDAQ,Dow Jones
2003-10,569.273,233.236,962.707,409.115,"1,038.222","1,064.331",584.9300965186551,693.2938199881258,299.93941499043035
2003-11,577.793,236.424,976.019,413.325,"1,080.767","1,073.827",589.0997730931568,703.3584226431441,299.3683663467718
2003-12,611.012,251.131,"1,036.318",442.778,"1,169.243","1,127.896",619.0057416469535,718.8266621348375,319.91676341415547
2004-01,623.041,255.195,"1,052.289",457.191,"1,182.211","1,146.695",629.6999243643855,741.352641495013,320.9618529613996
2004-02,634.662,259.511,"1,068.648",477.732,"1,215.130","1,159.225",637.3879142035257,728.3171357671913,323.89509685793996
2004-03,632.404,257.43,"1,059.157",482.062,"1,172.656","1,139.910",626.9609365496705,715.5435534110154,316.9721929823447
2004-04,614.660,250.932,"1,035.657",441.299,"1,158.219","1,117.514",616.4337909752373,688.9666093691042,312.92867966145013
2004-05,618.113,252.278,"1,042.626",431.263,"1,171.019","1,131.244",623.8824379268094,712.8596710496491,311.79270886418686
2004-06,630.843,256.895,"1,062.514",432.200,"1,183.771","1,152.119",635.1054583361931,734.7649620988559,319.35246885221477
2004-07,608.699,248.451,"1,026.991",423.140,"1,150.148","1,113.360",613.3273622198408,677.2012567941849,310.301132675941
2004-08,610.937,249.507,"1,029.631",439.746,"1,147.191","1,116.856",614.7302567601454,659.5263347963228,311.3480452275427
2004-09,624.130,254.373,"1,047.861",464.151,"1,192.383","1,130.901",620.4865143670291,680.6027566339868,308.48210306564334
2004-10,638.800,260.379,"1,072.698",474.271,"1,234.844","1,149.496",629.1821635863106,708.6436683638395,306.8662936132312
2004-11,674.040,274.17,"1,127.339",517.950,"1,322.638","1,194.598",653.4654091084851,752.3537735032974,319.1241450277668
2004-12,700.049,284.521,"1,169.341",542.174,"1,377.946","1,233.457",674.6757284430005,780.5668626200966,329.9877567326203
2005-01,685.575,278.299,"1,142.350",542.282,"1,351.520","1,200.808",657.6128638987068,740.0107003143299,321.01908334409825
2005-02,708.175,287.494,"1,176.703",588.681,"1,416.423","1,226.029",670.0439474859144,736.1750559160408,329.4742672101511
2005-03,691.129,280.512,"1,151.184",548.689,"1,376.070","1,206.654",657.2342780876218,717.3411886984884,321.44199046972176
2005-04,673.153,273.702,"1,123.642",531.990,"1,334.195","1,181.020",644.0182286587624,689.5048224779309,311.9169421283531
2005-05,685.967,278.074,"1,140.677",548.155,"1,331.644","1,216.823",663.307892674898,742.0954001131352,320.3317509306848
2005-06,693.905,280.438,"1,148.813",565.168,"1,346.731","1,221.713",663.2132292329951,738.0552102055507,314.44042843889787
2005-07,720.351,290.57,"1,188.165",602.564,"1,394.836","1,267.397",687.0678729403227,783.9361257372343,325.6391442070413
2005-08,724.217,292.202,"1,194.807",606.230,"1,411.393","1,258.018",679.3575254038487,772.188731119234,320.7638328487305
2005-09,744.048,300.604,"1,224.314",661.318,"1,444.746","1,271.212",684.0783973676361,772.045155063673,323.4293341872565
2005-10,723.622,292.319,"1,193.880",617.412,"1,398.477","1,244.574",671.942313063487,760.7821872835327,319.4929298436945
2005-11,748.919,302.432,"1,231.412",667.994,"1,418.667","1,292.700",695.5853401462017,801.1553536283067,330.6873421261416
2005-12,767.520,309.63,"1,257.775",706.483,"1,468.091","1,295.086",694.9228999224615,791.2881132998162,327.9829898750786
2006-01,807.075,324.658,"1,313.214",783.771,"1,563.089","1,334.052",712.6203425144867,827.3483915912086,332.49259460514736
2006-02,804.624,323.745,"1,309.451",782.106,"1,562.331","1,330.887",712.9432719300809,818.5826310202682,336.4265483526877
2006-03,821.728,329.791,"1,335.069",787.802,"1,616.907","1,346.318",720.8539553077106,839.5371139504637,339.9736964379466
2006-04,846.745,340.19,"1,373.384",841.580,"1,693.592","1,365.573",729.6164057928862,833.3584379731074,347.863629411904
2006-05,810.497,325.738,"1,322.246",750.996,"1,635.371","1,322.648",707.0589162700837,781.8011436590564,341.77891903163504
2006-06,807.992,325.108,"1,319.934",747.539,"1,636.568","1,320.773",707.1201451007761,779.3649059035907,341.2253234133007
2006-07,810.553,327.037,"1,327.233",755.836,"1,659.885","1,323.799",710.7164724582391,750.4377032999498,342.3104891710926
2006-08,829.867,334.809,"1,358.872",773.124,"1,707.059","1,354.095",725.836391943346,783.5485842669464,348.2923940597253
2006-09,837.834,338.276,"1,373.368",778.161,"1,720.643","1,381.536",743.6675050236863,810.3443963837931,357.4095078194559
2006-10,869.311,350.75,"1,422.926",814.438,"1,793.410","1,428.599",767.0989834383149,849.1962171782751,369.7013388398027
2006-11,893.907,360.043,"1,455.166",874.080,"1,852.944","1,454.329",779.7305387797319,872.5403347757369,374.0223971027978
2006-12,912.599,367.784,"1,483.578",912.648,"1,911.788","1,467.924",789.567449910943,866.6271737614102,381.40436933799316
2007-01,922.029,371.202,"1,500.232",901.477,"1,922.019","1,490.932",800.6680126589417,884.0795922930581,386.2561011809258
2007-02,917.702,368.777,"1,490.440",895.542,"1,912.932","1,462.930",783.1764783432742,866.9357002212552,375.45154286312845
